respondent_id,party_name,country_name,is_populist,populist_and_farleft,populist_and_farright,income_decile,income_feeling,paid_work,econ_satisfaction,unemp_3m,years_education,financial_difficulty_childhood,immig_same_ethnic,immig_diff_ethnic,immig_poor_nonEU,gay_rights_freedom,gay_adoption_rights,eu_integration,europe_attachment,country_attachment,child_obedience,leader_loyalty,tradition_important,pleasure_important,trust_politicians,trust_parties,trust_parliament,influence_on_politics,confident_participation,active_politics_role,political_interest,left_right_scale,party_closeness,ess_round,age,gender,ethnic_majority_identity,disc_nationality,disc_race,disc_ethnicity,born_in_country,citizen,how_religious,religion_belonging,religion_attendance,vote_x,vote_code,farright,farleft,eurosceptic,in_parliament,partyfacts_id,parlgov_id,vote_y
73338,BNG,Spain,0,0,0,7,2,1,8,2,16,3,2,2,2,2,4,10,5,9,2,4,2,5,0,0,0,1,2,2,2,5,1,11,51,1,1,0,0,0,1,1,7,1,4,1,9.0,0,0,,,,,2
73434,PSOE,Spain,0,0,0,8,1,1,7,1,13,3,1,1,1,1,1,8,5,5,1,3,2,2,6,6,6,2,3,4,1,2,1,11,63,1,1,0,0,0,1,1,5,1,6,1,2.0,0,0,,,,,1
73601,Vox,Spain,1,0,1,10,1,1,3,1,23,5,3,3,3,2,2,3,3,8,4,5,2,4,1,2,3,1,4,1,3,8,1,11,47,1,2,0,0,0,1,1,5,1,5,1,3.0,1,0,1.0,1.0,3218.0,2380.0,1
73607,PSOE,Spain,0,0,0,1,3,0,8,1,12,3,2,3,3,4,5,1,10,10,1,3,2,2,0,2,6,3,1,1,4,1,1,11,36,1,2,0,0,0,1,1,8,1,2,1,2.0,0,0,,,,,1
73670,SUMAR,Spain,0,0,0,6,2,1,5,1,15,5,2,2,2,2,3,5,5,6,3,4,5,3,5,5,4,2,3,2,3,0,1,11,46,2,1,0,0,0,2,1,6,1,7,1,4.0,0,0,,,,,1
73679,PSOE,Spain,0,0,0,8,3,1,4,1,13,1,1,1,1,2,2,0,0,0,2,5,1,2,2,2,2,1,2,3,2,10,1,11,44,1,1,0,0,0,1,1,4,1,7,1,2.0,0,0,,,,,1
73679,PSOE,Spain,0,0,0,2,2,0,5,2,8,3,3,3,3,2,2,7,6,9,2,2,1,3,2,2,2,2,1,1,4,2,1,11,63,2,1,0,1,0,1,1,5,1,6,1,2.0,0,0,,,,,1
73683,PSOE,Spain,0,0,0,2,3,0,2,2,8,2,4,4,4,1,1,0,0,10,1,5,1,2,0,0,0,1,1,1,4,3,1,11,77,2,1,0,0,0,1,1,7,1,7,1,2.0,0,0,,,,,1
73683,PSOE,Spain,0,0,0,4,3,0,0,2,12,3,3,4,3,2,5,0,10,10,3,2,2,3,2,3,0,1,1,1,2,0,1,11,70,1,1,0,0,0,1,1,5,1,3,1,2.0,0,0,,,,,1
73772,ERC,Spain,0,0,0,6,1,1,8,2,16,5,2,2,2,3,3,0,5,8,4,4,4,5,1,1,3,2,3,4,1,6,2,11,64,1,1,0,0,0,1,1,9,1,3,1,5.0,0,0,,,,,1
73772,ERC,Spain,0,0,0,3,3,1,8,1,10,2,1,1,1,2,2,7,8,3,1,3,1,1,5,4,5,2,2,2,1,3,1,11,50,1,1,0,0,0,1,1,0,2,7,1,5.0,0,0,,,,,1
73772,ERC,Spain,0,0,0,7,2,1,6,2,16,5,2,3,4,2,5,5,5,10,3,5,2,6,2,1,3,2,1,2,3,0,1,11,41,2,1,0,0,0,1,1,4,1,5,1,5.0,0,0,,,,,1
73860,PSOE,Spain,0,0,0,3,2,1,3,2,8,2,2,2,2,1,1,3,3,10,3,5,5,6,3,2,6,1,3,1,3,3,1,11,65,2,1,0,0,0,1,1,0,1,7,1,2.0,0,0,,,,,1
73860,PSOE,Spain,0,0,0,2,3,0,5,1,11,1,1,1,1,4,5,5,0,10,2,2,2,2,2,10,0,1,2,2,2,5,1,11,58,1,1,0,0,0,1,1,5,2,6,1,2.0,0,0,,,,,1
73874,SUMAR,Spain,0,0,0,6,1,0,2,2,17,2,1,1,1,1,1,8,10,10,2,3,6,1,2,2,3,2,3,3,2,2,1,11,72,2,1,0,0,0,1,1,0,2,7,1,4.0,0,0,,,,,1
73874,SUMAR,Spain,0,0,0,8,2,1,5,2,13,5,2,2,2,3,4,10,10,10,4,1,1,2,8,9,10,3,2,3,2,8,1,11,51,1,1,0,0,0,1,1,2,2,6,1,4.0,0,0,,,,,1
73928,PP,Spain,0,0,0,8,1,1,7,2,13,3,3,3,2,2,3,7,6,9,1,2,2,3,8,7,9,3,2,2,3,7,1,11,41,2,2,0,0,0,2,1,6,2,7,1,1.0,0,0,,,,,1
73928,PP,Spain,0,0,0,5,1,0,8,2,9,3,1,1,1,4,3,5,10,10,2,2,1,4,0,0,0,3,1,1,2,8,1,11,74,1,1,0,0,0,1,1,7,1,3,1,1.0,0,0,,,,,1
74039,PP,Spain,0,0,0,3,2,0,4,2,9,5,3,3,3,1,2,5,10,10,2,2,1,5,0,0,0,1,1,1,4,5,1,11,87,2,2,0,0,0,1,1,5,1,3,1,1.0,0,0,,,,,1
