uuid,year,valuation,revenue
7236a88f-7b3a-43c2-9d2f-c32f77c97f5a,2022,36527000000.0,17532000000.0
7236a88f-7b3a-43c2-9d2f-c32f77c97f5a,2023,45792000000.0,21916000000.0
37c08221-a191-46a2-940f-520ec75f37a6,2026,2438000000.0,592500000.0
8700a229-bfcc-4803-b1b8-9a2a63925395,2017,1092000000.0,149000000.0
8700a229-bfcc-4803-b1b8-9a2a63925395,2020,1241000000.0,287000000.0
041c5152-7059-4ca2-b48f-963a3aa70738,2017,4794000000.0,509533000.0
041c5152-7059-4ca2-b48f-963a3aa70738,2018,6157000000.0,652849000.0
041c5152-7059-4ca2-b48f-963a3aa70738,2019,7331000000.0,719514000.0
041c5152-7059-4ca2-b48f-963a3aa70738,2020,8802000000.0,742307000.0
041c5152-7059-4ca2-b48f-963a3aa70738,2021,8692000000.0,743267000.0
041c5152-7059-4ca2-b48f-963a3aa70738,2022,6514000000.0,812614000.0
041c5152-7059-4ca2-b48f-963a3aa70738,2023,6507000000.0,905341000.0
41e35927-8905-4bbf-9506-25d458c2d89a,2020,434141000000.0,70480978000.0
41e35927-8905-4bbf-9506-25d458c2d89a,2021,102819000000.0,80752439000.0
41e35927-8905-4bbf-9506-25d458c2d89a,2022,69952000000.0,60668779000.0
41e35927-8905-4bbf-9506-25d458c2d89a,2023,97507000000.0,77776932000.0
f073c45c-0ba3-4bae-8b0f-c1bd54821cf8,2020,1372882288.0,21394092.0
f073c45c-0ba3-4bae-8b0f-c1bd54821cf8,2021,2098107810.0,152148514.0
f073c45c-0ba3-4bae-8b0f-c1bd54821cf8,2022,845995599.0,271006600.0
f073c45c-0ba3-4bae-8b0f-c1bd54821cf8,2023,607722772.0,272265126.0
f073c45c-0ba3-4bae-8b0f-c1bd54821cf8,2019,393894389.0,11000000.0
38fa05ff-b646-4112-be90-0e583f02690e,2025,1409000000.0,25710000.0
38fa05ff-b646-4112-be90-0e583f02690e,2026,1134000000.0,359500000.0
42b03bec-ee24-48a7-9625-03cd68c26fb6,2018,478000000.0,415000000.0
42b03bec-ee24-48a7-9625-03cd68c26fb6,2019,753000000.0,530000000.0
42b03bec-ee24-48a7-9625-03cd68c26fb6,2020,331000000.0,526000000.0
42b03bec-ee24-48a7-9625-03cd68c26fb6,2021,874000000.0,538000000.0
42b03bec-ee24-48a7-9625-03cd68c26fb6,2022,781000000.0,596000000.0
2146b9d2-7c72-496f-914d-f6d72af81958,2025,41160000.0,859200000.0
2146b9d2-7c72-496f-914d-f6d72af81958,2024,41160000.0,763100000.0
2bd557f5-c44a-4dce-8cfc-f085cadc2350,2021,2125000000.0,612096000.0
2bd557f5-c44a-4dce-8cfc-f085cadc2350,2022,707000000.0,689750000.0
2bd557f5-c44a-4dce-8cfc-f085cadc2350,2023,338500000.0,768621000.0
af46e49b-eb99-4a1b-b343-4ea25e78d17a,2017,488000000.0,209625000.0
af46e49b-eb99-4a1b-b343-4ea25e78d17a,2018,832700000.0,257654000.0
af46e49b-eb99-4a1b-b343-4ea25e78d17a,2019,2295000000.0,302328000.0
af46e49b-eb99-4a1b-b343-4ea25e78d17a,2020,8011000000.0,391005000.0
af46e49b-eb99-4a1b-b343-4ea25e78d17a,2021,8250000000.0,625486000.0
af46e49b-eb99-4a1b-b343-4ea25e78d17a,2022,3843000000.0,820222000.0
af46e49b-eb99-4a1b-b343-4ea25e78d17a,2023,6997000000.0,1082571000.0
d265b1c7-8f62-4b98-86ab-1720d9e0c3dc,2017,454600000.0,68221000.0
d265b1c7-8f62-4b98-86ab-1720d9e0c3dc,2018,777200000.0,147699000.0
d265b1c7-8f62-4b98-86ab-1720d9e0c3dc,2019,1484000000.0,216824000.0
d265b1c7-8f62-4b98-86ab-1720d9e0c3dc,2020,7484000000.0,279598000.0
d265b1c7-8f62-4b98-86ab-1720d9e0c3dc,2021,4135000000.0,460449000.0
d265b1c7-8f62-4b98-86ab-1720d9e0c3dc,2022,1656000000.0,516303000.0
40a08381-fe20-4cf9-aed3-cc21acf32075,2021,485500000.0,56157000.0
40a08381-fe20-4cf9-aed3-cc21acf32075,2022,824500000.0,85821000.0
40a08381-fe20-4cf9-aed3-cc21acf32075,2023,165800000.0,184544000.0
a5df5237-b472-4d8d-ac8a-f96c09285863,2025,132100000.0,343500000.0
